．,1869,1869,524,特殊,句点,*,*,．,．,*
。,1869,1869,885,特殊,句点,*,*,。,。,*
，,1874,1874,1216,特殊,読点,*,*,，,，,*
、,1874,1874,-920,特殊,読点,*,*,、,、,*
（,1870,1870,1341,特殊,括弧始,*,*,（,（,*
〔,1870,1870,1354,特殊,括弧始,*,*,〔,〔,*
［,1870,1870,1354,特殊,括弧始,*,*,［,［,*
｛,1870,1870,1354,特殊,括弧始,*,*,｛,｛,*
〈,1870,1870,1354,特殊,括弧始,*,*,〈,〈,*
＜,1870,1870,565,特殊,括弧始,*,*,＜,＜,*
《,1870,1870,1354,特殊,括弧始,*,*,《,《,*
「,1870,1870,499,特殊,括弧始,*,*,「,「,*
『,1870,1870,1314,特殊,括弧始,*,*,『,『,*
【,1870,1870,1354,特殊,括弧始,*,*,【,【,*
“,1870,1870,1308,特殊,括弧始,*,*,“,“,*
）,1871,1871,1363,特殊,括弧終,*,*,）,）,*
〕,1871,1871,1408,特殊,括弧終,*,*,〕,〕,*
］,1871,1871,1408,特殊,括弧終,*,*,］,］,*
｝,1871,1871,1408,特殊,括弧終,*,*,｝,｝,*
〉,1871,1871,1408,特殊,括弧終,*,*,〉,〉,*
＞,1871,1871,1408,特殊,括弧終,*,*,＞,＞,*
》,1871,1871,1408,特殊,括弧終,*,*,》,》,*
」,1871,1871,-681,特殊,括弧終,*,*,」,」,*
』,1871,1871,1345,特殊,括弧終,*,*,』,』,*
】,1871,1871,1408,特殊,括弧終,*,*,】,】,*
”,1871,1871,2021,特殊,括弧終,*,*,”,”,*
・,1873,1873,2233,特殊,記号,*,*,・,・,*
：,1873,1873,1703,特殊,記号,*,*,：,：,*
；,1873,1873,2311,特殊,記号,*,*,；,；,*
？,1873,1873,3181,特殊,記号,*,*,？,？,*
！,1873,1873,2284,特殊,記号,*,*,！,！,*
゛,1873,1873,7928,特殊,記号,*,*,゛,゛,*
゜,1873,1873,7928,特殊,記号,*,*,゜,゜,*
´,1873,1873,2311,特殊,記号,*,*,´,´,*
｀,1873,1873,2311,特殊,記号,*,*,｀,｀,*
¨,1873,1873,2311,特殊,記号,*,*,¨,¨,*
＾,1873,1873,2311,特殊,記号,*,*,＾,＾,*
￣,1873,1873,2311,特殊,記号,*,*,￣,￣,*
＿,1873,1873,2311,特殊,記号,*,*,＿,＿,*
ヽ,1873,1873,4861,特殊,記号,*,*,ヽ,ヽ,*
ヾ,1873,1873,4861,特殊,記号,*,*,ヾ,ヾ,*
ゝ,1873,1873,7928,特殊,記号,*,*,ゝ,ゝ,*
ゞ,1873,1873,7928,特殊,記号,*,*,ゞ,ゞ,*
〃,1873,1873,2311,特殊,記号,*,*,〃,〃,*
仝,1873,1873,4693,特殊,記号,*,*,仝,仝,*
々,1873,1873,5916,特殊,記号,*,*,々,々,*
々々,1873,1873,4672,特殊,記号,*,*,々々,々々,*
〆,1873,1873,4693,特殊,記号,*,*,〆,〆,*
〇,1873,1873,10356,特殊,記号,*,*,〇,〇,*
